#time	id	act	node	grp	dest	new_grp	prob	keep_via	via
5101	23	1	265	265	259	259	1.000000	false	0
5101	26	1	296	296	274	274	1.000000	false	0
5101	24	1	370	370	274	274	1.000000	false	0
5101	27	1	488	488	274	274	1.000000	false	0
5101	6	1	605	605	274	274	1.000000	false	0
5101	16	1	637	637	274	274	1.000000	false	0
5101	21	1	660	660	410	410	1.000000	false	0
5101	17	1	834	834	274	274	1.000000	false	0
5101	18	1	886	886	274	274	1.000000	false	0
5401	22	99	136	136	259	259	1.000000	false	0
5401	5	99	204	204	95	95	1.000000	false	0
5401	25	99	246	246	274	274	1.000000	false	0
5401	23	99	265	265	259	259	1.000000	false	0
5401	26	99	296	296	274	274	1.000000	false	0
5401	24	99	370	370	274	274	1.000000	false	0
5401	27	99	488	488	274	274	1.000000	false	0
5401	6	99	605	605	274	274	1.000000	false	0
5401	16	99	637	637	274	274	1.000000	false	0
5401	21	99	660	660	410	410	1.000000	false	0
5401	17	99	834	834	274	274	1.000000	false	0
5401	18	99	886	886	274	274	1.000000	false	0
5401	22	1	136	136	259	259	1.000000	false	0
5401	5	1	204	204	95	95	1.000000	false	0
5401	25	1	246	246	274	274	1.000000	false	0
5401	23	1	265	265	259	259	1.000000	false	0
5401	26	1	296	296	274	274	1.000000	false	0
5401	24	1	370	370	274	274	1.000000	false	0
5401	27	1	488	488	274	274	1.000000	false	0
5401	6	1	605	605	274	274	1.000000	false	0
5401	16	1	637	637	274	274	1.000000	false	0
5401	21	1	660	660	410	410	1.000000	false	0
5401	17	1	834	834	274	274	1.000000	false	0
5401	18	1	886	886	274	274	1.000000	false	0
5701	22	99	136	136	259	259	1.000000	false	0
5701	5	99	204	204	95	95	1.000000	false	0
5701	25	99	246	246	274	274	1.000000	false	0
5701	23	99	265	265	259	259	1.000000	false	0
5701	26	99	296	296	274	274	1.000000	false	0
5701	24	99	370	370	274	274	1.000000	false	0
5701	27	99	488	488	274	274	1.000000	false	0
5701	6	99	605	605	274	274	1.000000	false	0
5701	16	99	637	637	274	274	1.000000	false	0
5701	21	99	660	660	410	410	1.000000	false	0
5701	17	99	834	834	274	274	1.000000	false	0
5701	18	99	886	886	274	274	1.000000	false	0
5701	22	1	136	136	259	259	1.000000	false	0
5701	5	1	204	204	95	95	1.000000	false	0
5701	25	1	246	246	274	274	1.000000	false	0
5701	23	1	265	265	259	259	1.000000	false	0
5701	26	1	296	296	274	274	1.000000	false	0
5701	24	1	370	370	274	274	1.000000	false	0
5701	27	1	488	488	274	274	1.000000	false	0
5701	6	1	605	605	274	274	1.000000	false	0
5701	16	1	637	637	274	274	1.000000	false	0
5701	21	1	660	660	410	410	1.000000	false	0
5701	17	1	834	834	274	274	1.000000	false	0
5701	18	1	886	886	274	274	1.000000	false	0
6001	22	99	136	136	259	259	1.000000	false	0
6001	5	99	204	204	95	95	1.000000	false	0
6001	25	99	246	246	274	274	1.000000	false	0
6001	23	99	265	265	259	259	1.000000	false	0
6001	26	99	296	296	274	274	1.000000	false	0
6001	24	99	370	370	274	274	1.000000	false	0
6001	27	99	488	488	274	274	1.000000	false	0
6001	6	99	605	605	274	274	1.000000	false	0
6001	16	99	637	637	274	274	1.000000	false	0
6001	21	99	660	660	410	410	1.000000	false	0
6001	17	99	834	834	274	274	1.000000	false	0
6001	18	99	886	886	274	274	1.000000	false	0
6001	22	1	136	136	259	259	1.000000	false	0
6001	5	1	204	204	95	95	1.000000	false	0
6001	25	1	246	246	274	274	1.000000	false	0
6001	23	1	265	265	259	259	1.000000	false	0
6001	26	1	296	296	274	274	1.000000	false	0
6001	24	1	370	370	274	274	1.000000	false	0
6001	27	1	488	488	274	274	1.000000	false	0
6001	6	1	605	605	274	274	1.000000	false	0
6001	16	1	637	637	274	274	1.000000	false	0
6001	21	1	660	660	410	410	1.000000	false	0
6001	17	1	834	834	274	274	1.000000	false	0
6001	18	1	886	886	274	274	1.000000	false	0
6301	22	99	136	136	259	259	1.000000	false	0
6301	5	99	204	204	95	95	1.000000	false	0
6301	25	99	246	246	274	274	1.000000	false	0
6301	23	99	265	265	259	259	1.000000	false	0
6301	26	99	296	296	274	274	1.000000	false	0
6301	24	99	370	370	274	274	1.000000	false	0
6301	27	99	488	488	274	274	1.000000	false	0
6301	6	99	605	605	274	274	1.000000	false	0
6301	16	99	637	637	274	274	1.000000	false	0
6301	21	99	660	660	410	410	1.000000	false	0
6301	17	99	834	834	274	274	1.000000	false	0
6301	18	99	886	886	274	274	1.000000	false	0
6301	22	1	136	136	259	259	1.000000	false	0
6301	5	1	204	204	95	95	1.000000	false	0
6301	25	1	246	246	274	274	1.000000	false	0
6301	23	1	265	265	259	259	1.000000	false	0
6301	26	1	296	296	274	274	1.000000	false	0
6301	24	1	370	370	274	274	1.000000	false	0
6301	27	1	488	488	274	274	1.000000	false	0
6301	6	1	605	605	274	274	1.000000	false	0
6301	16	1	637	637	274	274	1.000000	false	0
6301	21	1	660	660	410	410	1.000000	false	0
6301	17	1	834	834	274	274	1.000000	false	0
6301	18	1	886	886	274	274	1.000000	false	0
6601	22	99	136	136	259	259	1.000000	false	0
6601	5	99	204	204	95	95	1.000000	false	0
6601	25	99	246	246	274	274	1.000000	false	0
6601	23	99	265	265	259	259	1.000000	false	0
6601	26	99	296	296	274	274	1.000000	false	0
6601	24	99	370	370	274	274	1.000000	false	0
6601	27	99	488	488	274	274	1.000000	false	0
6601	6	99	605	605	274	274	1.000000	false	0
6601	16	99	637	637	274	274	1.000000	false	0
6601	21	99	660	660	410	410	1.000000	false	0
6601	17	99	834	834	274	274	1.000000	false	0
6601	18	99	886	886	274	274	1.000000	false	0
6601	22	1	136	136	259	259	1.000000	false	0
6601	5	1	204	204	95	95	1.000000	false	0
6601	25	1	246	246	274	274	1.000000	false	0
6601	23	1	265	265	259	259	1.000000	false	0
6601	26	1	296	296	274	274	1.000000	false	0
6601	24	1	370	370	274	274	1.000000	false	0
6601	27	1	488	488	274	274	1.000000	false	0
6601	6	1	605	605	274	274	1.000000	false	0
6601	16	1	637	637	274	274	1.000000	false	0
6601	21	1	660	660	410	410	1.000000	false	0
6601	17	1	834	834	274	274	1.000000	false	0
6601	18	1	886	886	274	274	1.000000	false	0
6901	22	99	136	136	259	259	1.000000	false	0
6901	5	99	204	204	95	95	1.000000	false	0
6901	25	99	246	246	274	274	1.000000	false	0
6901	23	99	265	265	259	259	1.000000	false	0
6901	26	99	296	296	274	274	1.000000	false	0
6901	24	99	370	370	274	274	1.000000	false	0
6901	27	99	488	488	274	274	1.000000	false	0
6901	6	99	605	605	274	274	1.000000	false	0
6901	16	99	637	637	274	274	1.000000	false	0
6901	21	99	660	660	410	410	1.000000	false	0
6901	17	99	834	834	274	274	1.000000	false	0
6901	18	99	886	886	274	274	1.000000	false	0
6901	22	1	136	136	259	259	1.000000	false	0
6901	5	1	204	204	95	95	1.000000	false	0
6901	25	1	246	246	274	274	1.000000	false	0
6901	23	1	265	265	259	259	1.000000	false	0
6901	26	1	296	296	274	274	1.000000	false	0
6901	24	1	370	370	274	274	1.000000	false	0
6901	27	1	488	488	274	274	1.000000	false	0
6901	6	1	605	605	274	274	1.000000	false	0
6901	16	1	637	637	274	274	1.000000	false	0
6901	21	1	660	660	410	410	1.000000	false	0
6901	17	1	834	834	274	274	1.000000	false	0
6901	18	1	886	886	274	274	1.000000	false	0
7201	22	99	136	136	259	259	1.000000	false	0
7201	5	99	204	204	95	95	1.000000	false	0
7201	25	99	246	246	274	274	1.000000	false	0
7201	23	99	265	265	259	259	1.000000	false	0
7201	26	99	296	296	274	274	1.000000	false	0
7201	24	99	370	370	274	274	1.000000	false	0
7201	27	99	488	488	274	274	1.000000	false	0
7201	6	99	605	605	274	274	1.000000	false	0
7201	16	99	637	637	274	274	1.000000	false	0
7201	21	99	660	660	410	410	1.000000	false	0
7201	17	99	834	834	274	274	1.000000	false	0
7201	18	99	886	886	274	274	1.000000	false	0
7201	22	1	136	136	259	259	1.000000	false	0
7201	5	1	204	204	95	95	1.000000	false	0
7201	25	1	246	246	274	274	1.000000	false	0
7201	23	1	265	265	259	259	1.000000	false	0
7201	26	1	296	296	274	274	1.000000	false	0
7201	24	1	370	370	274	274	1.000000	false	0
7201	27	1	488	488	274	274	1.000000	false	0
7201	6	1	605	605	274	274	1.000000	false	0
7201	16	1	637	637	274	274	1.000000	false	0
7201	21	1	660	660	410	410	1.000000	false	0
