#time	uid	from	to	dest	grp	keep_via
922	4896	605	0	370	370	0
923	3574	605	0	370	370	0
923	353	834	0	637	637	0
923	782	605	0	370	370	0
923	3517	834	0	637	637	0
923	1229	834	0	637	637	0
923	4560	605	0	370	370	0
923	1499	886	0	637	637	0
924	24	605	0	370	370	0
924	140	834	0	637	637	0
924	4087	605	0	370	370	0
924	4077	886	0	637	637	0
924	1869	605	0	370	370	0
924	923	605	0	370	370	0
924	1936	834	0	637	637	0
924	2900	834	0	637	637	0
924	2868	886	0	637	637	0
925	2350	605	0	370	370	0
925	4538	834	0	637	637	0
925	2216	834	0	637	637	0
925	3633	605	0	370	370	0
925	671	886	0	637	637	0
925	4901	834	0	637	637	0
925	3903	605	0	370	370	0
925	1047	834	0	637	637	0
925	1130	605	0	370	370	0
926	3966	605	0	370	370	0
926	4159	886	0	637	637	0
926	259	605	0	370	370	0
926	459	834	0	637	637	0
926	560	886	0	637	637	0
926	4014	834	0	637	637	0
926	2326	605	0	370	370	0
926	4569	834	0	637	637	0
926	3993	834	0	637	637	0
927	4269	605	0	370	370	0
927	501	605	0	370	370	0
927	3656	886	0	637	637	0
927	761	834	0	637	637	0
927	1333	834	0	637	637	0
927	1490	834	0	637	637	0
927	4799	605	0	370	370	0
928	74	605	0	370	370	0
928	4773	605	0	370	370	0
928	2158	886	0	637	637	0
928	1585	834	0	637	637	0
928	4462	605	0	370	370	0
928	2519	834	0	637	637	0
928	3621	834	0	637	637	0
928	2531	834	0	637	637	0
929	4040	886	0	637	637	0
929	849	605	0	370	370	0
929	3233	605	0	370	370	0
929	4377	886	0	637	637	0
929	4297	834	0	637	637	0
929	1078	834	0	637	637	0
929	1639	834	0	637	637	0
929	4196	605	0	370	370	0
929	1238	605	0	370	370	0
929	1387	834	0	637	637	0
930	4713	834	0	637	637	0
930	286	605	0	370	370	0
930	2245	834	0	637	637	0
930	661	605	0	370	370	0
930	4580	886	0	637	637	0
930	4276	605	0	370	370	0
930	3796	834	0	637	637	0
931	2836	834	0	637	637	0
931	1753	886	0	637	637	0
931	420	605	0	370	370	0
931	2407	605	0	370	370	0
931	2533	834	0	637	637	0
931	2333	605	0	370	370	0
931	1408	834	0	637	637	0
932	2133	834	0	637	637	0
932	2511	886	0	637	637	0
932	295	605	0	370	370	0
932	1878	605	0	370	370	0
932	517	605	0	370	370	0
932	4186	834	0	637	637	0
932	974	886	0	637	637	0
932	1162	605	0	370	370	0
932	4583	834	0	637	637	0
932	2212	834	0	637	637	0
933	149	834	0	637	637	0
933	2046	886	0	637	637	0
933	2187	605	0	370	370	0
933	413	605	0	370	370	0
933	4232	834	0	637	637	0
933	4541	834	0	637	637	0
933	1331	605	0	370	370	0
934	297	605	0	370	370	0
934	3768	834	0	637	637	0
934	571	886	0	637	637	0
934	608	605	0	370	370	0
934	2514	834	0	637	637	0
934	789	605	0	370	370	0
934	2820	834	0	637	637	0
934	1559	886	0	637	637	0
935	3223	834	0	637	637	0
935	3427	834	0	637	637	0
935	304	834	0	637	637	0
935	2707	605	0	370	370	0
935	1369	605	0	370	370	0
936	3082	886	0	637	637	0
936	2730	605	0	370	370	0
936	1611	605	0	370	370	0
936	4891	605	0	370	370	0
936	2576	605	0	370	370	0
936	4881	886	0	637	637	0
937	2096	886	0	637	637	0
937	4999	605	0	370	370	0
937	3386	834	0	637	637	0
937	4710	834	0	637	637	0
937	1334	605	0	370	370	0
938	3125	886	0	637	637	0
938	2210	605	0	370	370	0
938	1649	605	0	370	370	0
938	4591	834	0	637	637	0
938	2110	834	0	637	637	0
938	4737	605	0	370	370	0
939	131	834	0	637	637	0
939	1787	605	0	370	370	0
939	4938	605	0	370	370	0
939	2774	886	0	637	637	0
939	1556	605	0	370	370	0
939	3031	834	0	637	637	0
939	1983	834	0	637	637	0
939	808	605	0	370	370	0
939	2600	886	0	637	637	0
939	1653	834	0	637	637	0
940	2540	605	0	370	370	0
940	554	834	0	637	637	0
940	1572	605	0	370	370	0
940	585	886	0	637	637	0
940	4815	834	0	637	637	0
940	802	605	0	370	370	0
940	826	834	0	637	637	0
940	1136	605	0	370	370	0
940	1172	834	0	637	637	0
941	2982	834	0	637	637	0
941	1573	605	0	370	370	0
941	2657	605	0	370	370	0
941	2914	605	0	370	370	0
941	1139	834	0	637	637	0
941	1937	605	0	370	370	0
941	2007	834	0	637	637	0
941	1398	834	0	637	637	0
941	1405	886	0	637	637	0
942	2127	886	0	637	637	0
942	901	834	0	637	637	0
942	2391	834	0	637	637	0
942	3029	605	0	370	370	0
942	1529	605	0	370	370	0
943	4716	834	0	637	637	0
943	290	834	0	637	637	0
943	714	605	0	370	370	0
943	4535	605	0	370	370	0
943	3169	834	0	637	637	0
943	3260	605	0	370	370	0
943	4250	886	0	637	637	0
943	2016	605	0	370	370	0
944	2447	605	0	370	370	0
944	2309	834	0	637	637	0
944	307	605	0	370	370	0
944	4521	605	0	370	370	0
944	3447	834	0	637	637	0
944	3675	834	0	637	637	0
944	936	886	0	637	637	0
944	986	886	0	637	637	0
944	1303	605	0	370	370	0
945	448	605	0	370	370	0
945	579	605	0	370	370	0
945	2502	886	0	637	637	0
945	859	834	0	637	637	0
945	940	834	0	637	637	0
945	1328	834	0	637	637	0
945	4268	605	0	370	370	0
946	2359	605	0	370	370	0
946	221	886	0	637	637	0
946	1962	834	0	637	637	0
946	2897	605	0	370	370	0
946	3962	834	0	637	637	0
946	3852	605	0	370	370	0
946	2320	834	0	637	637	0
946	1418	605	0	370	370	0
947	102	605	0	370	370	0
947	3450	834	0	637	637	0
947	2271	834	0	637	637	0
947	1675	834	0	637	637	0
947	1736	886	0	637	637	0
947	1327	886	0	637	637	0
947	1493	605	0	370	370	0
948	2061	834	0	637	637	0
948	4172	834	0	637	637	0
948	1993	605	0	370	370	0
948	423	605	0	370	370	0
948	604	605	0	370	370	0
948	2636	834	0	637	637	0
948	2111	886	0	637	637	0
948	2983	834	0	637	637	0
949	98	886	0	637	637	0
949	344	605	0	370	370	0
949	466	605	0	370	370	0
949	3794	605	0	370	370	0
949	682	834	0	637	637	0
949	2394	834	0	637	637	0
949	2463	605	0	370	370	0
950	67	886	0	637	637	0
950	4729	834	0	637	637	0
950	4201	605	0	370	370	0
950	3044	605	0	370	370	0
950	1276	834	0	637	637	0
950	3365	834	0	637	637	0
950	2918	605	0	370	370	0
950	3344	605	0	370	370	0
951	3349	605	0	370	370	0
951	3214	886	0	637	637	0
951	3437	834	0	637	637	0
951	4634	605	0	370	370	0
951	3285	886	0	637	637	0
951	2841	605	0	370	370	0
951	4939	834	0	637	637	0
951	3317	834	0	637	637	0
952	1831	834	0	637	637	0
952	215	834	0	637	637	0
952	2794	886	0	637	637	0
952	1861	834	0	637	637	0
952	1299	834	0	637	637	0
952	1308	605	0	370	370	0
952	2435	605	0	370	370	0
952	1381	605	0	370	370	0
953	2250	834	0	637	637	0
953	492	834	0	637	637	0
953	3524	605	0	370	370	0
953	2351	886	0	637	637	0
953	4714	605	0	370	370	0
953	1876	605	0	370	370	0
953	3109	605	0	370	370	0
954	2743	834	0	637	637	0
954	3230	605	0	370	370	0
954	1610	834	0	637	637	0
954	2119	605	0	370	370	0
954	2987	886	0	637	637	0
954	1406	605	0	370	370	0
954	1492	605	0	370	370	0
955	4497	605	0	370	370	0
955	558	605	0	370	370	0
955	4764	834	0	637	637	0
955	4105	834	0	637	637	0
955	4718	886	0	637	637	0
955	1388	605	0	370	370	0
956	311	605	0	370	370	0
956	4667	834	0	637	637	0
956	4134	605	0	370	370	0
956	2031	886	0	637	637	0
956	2368	605	0	370	370	0
956	1199	834	0	637	637	0
956	4376	886	0	637	637	0
957	168	605	0	370	370	0
957	400	834	0	637	637	0
957	656	886	0	637	637	0
957	780	605	0	370	370	0
957	4579	605	0	370	370	0
958	325	886	0	637	637	0
958	2023	605	0	370	370	0
958	2337	834	0	637	637	0
958	1390	605	0	370	370	0
958	1613	834	0	637	637	0
959	4651	886	0	637	637	0
959	404	834	0	637	637	0
959	996	605	0	370	370	0
959	1004	886	0	637	637	0
959	4258	605	0	370	370	0
959	1098	834	0	637	637	0
959	2880	605	0	370	370	0
960	4029	834	0	637	637	0
960	4933	605	0	370	370	0
960	3053	605	0	370	370	0
961	48	886	0	637	637	0
961	381	605	0	370	370	0
961	3382	605	0	370	370	0
961	3854	886	0	637	637	0
961	1504	605	0	370	370	0
962	4486	605	0	370	370	0
962	811	886	0	637	637	0
962	2921	605	0	370	370	0
963	3355	605	0	370	370	0
963	1147	886	0	637	637	0
963	2184	605	0	370	370	0
964	3030	605	0	370	370	0
964	1295	605	0	370	370	0
964	4360	886	0	637	637	0
965	2562	605	0	370	370	0
965	1904	605	0	370	370	0
965	1731	886	0	637	637	0
966	1889	886	0	637	637	0
966	3315	886	0	637	637	0
967	2898	605	0	370	370	0
967	3906	605	0	370	370	0
967	3363	886	0	637	637	0
968	3585	605	0	370	370	0
968	126	886	0	637	637	0
968	388	605	0	370	370	0
969	4762	605	0	370	370	0
969	4354	886	0	637	637	0
969	4248	605	0	370	370	0
970	3138	605	0	370	370	0
970	613	886	0	637	637	0
970	614	886	0	637	637	0
970	1850	605	0	370	370	0
971	1414	605	0	370	370	0
972	4403	886	0	637	637	0
972	2152	886	0	637	637	0
972	3795	605	0	370	370	0
972	3563	605	0	370	370	0
973	2943	886	0	637	637	0
973	2919	605	0	370	370	0
974	4565	886	0	637	637	0
974	981	605	0	370	370	0
974	2018	605	0	370	370	0
974	1225	886	0	637	637	0
975	4998	605	0	370	370	0
975	2277	605	0	370	370	0
976	3455	605	0	370	370	0
976	1043	886	0	637	637	0
976	1288	886	0	637	637	0
976	3352	605	0	370	370	0
977	4887	605	0	370	370	0
977	3326	886	0	637	637	0
978	376	605	0	370	370	0
979	347	886	0	637	637	0
979	643	605	0	370	370	0
980	1583	605	0	370	370	0
980	1394	605	0	370	370	0
980	3674	886	0	637	637	0
981	4711	605	0	370	370	0
981	2336	886	0	637	637	0
982	3146	605	0	370	370	0
982	2686	605	0	370	370	0
982	4820	886	0	637	637	0
983	1864	886	0	637	637	0
983	3087	605	0	370	370	0
983	648	605	0	370	370	0
983	2218	886	0	637	637	0
984	793	605	0	370	370	0
985	243	886	0	637	637	0
985	3564	886	0	637	637	0
986	2873	605	0	370	370	0
986	4214	886	0	637	637	0
986	4165	605	0	370	370	0
987	1900	605	0	370	370	0
988	2852	605	0	370	370	0
988	4879	605	0	370	370	0
988	4836	886	0	637	637	0
989	485	605	0	370	370	0
989	1501	605	0	370	370	0
990	194	605	0	370	370	0
990	769	605	0	370	370	0
991	2588	886	0	637	637	0
991	3766	605	0	370	370	0
992	1153	605	0	370	370	0
992	1952	605	0	370	370	0
993	3952	605	0	370	370	0
993	4206	605	0	370	370	0
994	4246	605	0	370	370	0
995	436	605	0	370	370	0
995	1087	605	0	370	370	0
996	4755	605	0	370	370	0
997	698	605	0	370	370	0
997	877	605	0	370	370	0
999	4515	605	0	370	370	0
999	1569	605	0	370	370	0
1001	1012	605	0	370	370	0
1002	2509	605	0	370	370	0
1002	3444	605	0	370	370	0
1201	2220	488	0	296	296	0
1201	4639	660	0	246	246	0
1201	2454	488	0	296	296	0
1201	3707	637	0	370	370	0
1201	2572	488	0	296	296	0
1201	265	660	0	246	246	0
1201	274	637	0	370	370	0
1201	289	660	0	246	246	0
1201	1674	660	0	246	246	0
1201	1564	660	0	246	246	0
1201	472	488	0	296	296	0
1201	3539	488	0	296	296	0
1201	4498	660	0	246	246	0
1201	3636	488	0	296	296	0
1201	523	488	0	296	296	0
1201	531	637	0	370	370	0
1201	556	488	0	296	296	0
1201	4176	660	0	246	246	0
1201	647	637	0	370	370	0
1201	1554	637	0	370	370	0
1201	4910	660	0	246	246	0
1201	3212	637	0	370	370	0
1201	3808	637	0	370	370	0
1201	2908	637	0	370	370	0
1201	935	660	0	246	246	0
1201	944	488	0	296	296	0
1201	2577	488	0	296	296	0
1201	968	660	0	246	246	0
1201	3089	660	0	246	246	0
1201	1089	488	0	296	296	0
1201	2162	488	0	296	296	0
1201	1226	660	0	246	246	0
1201	1246	660	0	246	246	0
1201	4974	660	0	246	246	0
1201	1289	488	0	296	296	0
1201	1300	488	0	296	296	0
1201	4835	637	0	370	370	0
1201	2035	660	0	246	246	0
1201	4310	637	0	370	370	0
1201	4556	660	0	246	246	0
1201	1424	660	0	246	246	0
1201	3210	488	0	296	296	0
1201	4220	637	0	370	370	0
1201	4550	637	0	370	370	0
1202	1885	637	0	370	370	0
1202	624	660	0	246	246	0
1202	930	660	0	246	246	0
1202	1562	660	0	246	246	0
1202	2213	660	0	246	246	0
1202	1376	660	0	246	246	0
1202	4068	488	0	296	296	0
1203	2818	660	0	246	246	0
1203	594	660	0	246	246	0
1203	3661	637	0	370	370	0
1203	1614	488	0	296	296	0
1203	2043	488	0	296	296	0
1203	2542	660	0	246	246	0
1203	896	660	0	246	246	0
1203	3753	637	0	370	370	0
1203	3475	637	0	370	370	0
1203	4114	488	0	296	296	0
1203	4604	637	0	370	370	0
1203	4848	660	0	246	246	0
1204	35	637	0	370	370	0
1204	161	488	0	296	296	0
1204	330	660	0	246	246	0
1204	3818	660	0	246	246	0
1204	484	637	0	370	370	0
1204	623	660	0	246	246	0
1204	662	637	0	370	370	0
1204	4024	488	0	296	296	0
1204	1003	637	0	370	370	0
1204	3464	660	0	246	246	0
1204	3850	660	0	246	246	0
1205	235	660	0	246	246	0
1205	2348	637	0	370	370	0
1205	437	660	0	246	246	0
1205	4586	488	0	296	296	0
1205	549	637	0	370	370	0
1205	3193	660	0	246	246	0
1205	2026	660	0	246	246	0
1205	1183	637	0	370	370	0
1205	2201	488	0	296	296	0
1205	2861	660	0	246	246	0
1206	76	637	0	370	370	0
1206	351	660	0	246	246	0
1206	1726	488	0	296	296	0
1206	4499	660	0	246	246	0
1206	1568	637	0	370	370	0
1206	2581	637	0	370	370	0
1206	4359	637	0	370	370	0
1206	3783	488	0	296	296	0
1206	3728	660	0	246	246	0
1206	4923	660	0	246	246	0
1206	1370	660	0	246	246	0
1207	4518	660	0	246	246	0
1207	4843	660	0	246	246	0
1207	3126	488	0	296	296	0
1207	807	660	0	246	246	0
1207	4047	660	0	246	246	0
1207	4145	637	0	370	370	0
1207	3937	488	0	296	296	0
1207	1166	637	0	370	370	0
1207	2780	637	0	370	370	0
1207	1497	660	0	246	246	0
1208	4393	660	0	246	246	0
1208	3894	660	0	246	246	0
1208	465	660	0	246	246	0
1208	3535	637	0	370	370	0
1208	3339	488	0	296	296	0
1208	1847	660	0	246	246	0
1208	3186	637	0	370	370	0
1208	2228	637	0	370	370	0
1208	4133	488	0	296	296	0
1209	66	660	0	246	246	0
1209	1672	660	0	246	246	0
1209	4481	637	0	370	370	0
1209	3291	660	0	246	246	0
1209	2065	660	0	246	246	0
1209	3265	637	0	370	370	0
1209	3101	637	0	370	370	0
1209	1844	637	0	370	370	0
1209	1196	660	0	246	246	0
1209	1216	660	0	246	246	0
1209	1218	488	0	296	296	0
1209	1223	488	0	296	296	0
1210	183	660	0	246	246	0
1210	245	637	0	370	370	0
1210	3324	488	0	296	296	0
1210	314	660	0	246	246	0
1210	338	488	0	296	296	0
1210	2578	637	0	370	370	0
